导引头ID,导引头姿态,作战场景,天线扫描方式,中心频率,带宽,脉宽,重复频率,发射功率,发射天线主瓣增益,发射天线副瓣增益,波束指向,信号样式,导引头位置,导引头位置,导引头位置,天线极化形式,工作状态,导引头ID,导引头姿态,作战场景,天线扫描方式,中心频率,带宽,脉宽,重复频率,发射功率,发射天线主瓣增益,发射天线副瓣增益,波束指向,信号样式,导引头位置,导引头位置,导引头位置,天线极化形式,工作状态,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
